,,Indeks Pembangunan Manusia,,,,,Rata-Rata Lama Sekolah (Tahun),,,,,PDRB ADHK (Milyar Rupiah),,,,,Persentase Penduduk Miskin (%),,,,,Umur Harapan Hidup (Tahun),,,,,Garis Kemiskinan (Rupiah/Kapita/Bulan),,,,,Kepadatan Penduduk (Jiwa/km2),,,,,Persentase Rumah Tangga yang memiliki Akses Sanitasi Layak (%),,,,,Indeks Pembangunan Gender,,,,,Pengeluaran Per Kapita yang Disesuaikan (Rupiah/Kapita/Tahun),,,,
Papua Barat,Fakfak,69.53,69.69,70.26,70.85,71.52,"8,84","8,97","9,08","9,17","9,32","3440,58","3474,01","3538,16","3603,9","3717,4","22,27","22,86","22,06","21,38","20,86",68.47,68.5,68.75,69.02,69.16,578510,596406,628418,671021,725257,6,6,6,9,9,75.6,65.86,69.18,73.42,75.07,82.95,82.89,83.54,83.88,84.45,7599,7446,7678,7851,8159
,Kaimana,66.61,66.92,67.72,68.31,69.2,"8,41","8,58","8,74","8,8","8,97","1752,82",1716,"1733,75","1791,37","1829,57","15,5","16,04","15,29","14,57","14,41",64.81,64.93,65.27,65.62,65.86,438991,450301,511011,609865,682231,4,4,4,4,4,70.73,74.57,76.48,75.57,80.64,83.02,83.12,83.88,84.3,84.88,8325,8151,8453,8749,9242
,Teluk Wondama,62.36,62.48,63.02,63.84,64.52,"6,98","7,08","7,2","7,27","7,38","979,43","990,09","1021,69","1049,99","1088,51","30,91","31,61","30,06","28,9","28,47",60.1,60.24,60.57,60.86,61.08,588838,597676,614573,659187,710854,11,11,11,9,9,88.32,61.1,53,54.53,61.17,79.28,79.18,79.58,79.72,80.36,8219,8034,8177,8490,8887
,Teluk Bintuni,67.59,67.67,68.29,69.01,69.79,"8,08","8,22","8,35","8,51","8,67","25648,78","25058,62","25562,38","27108,16","35029,08","29,39","29,79","29,73","28,24","26,99",60.83,60.99,61.37,61.76,62.04,683667,693305,716834,787048,794285,4,4,4,5,5,77.92,77.45,78.56,75.52,75.77,86.17,86.14,86.37,86.5,86.63,9974,9708,9979,10324,10592
,Manokwari,73.36,73.36,73.92,74.52,75.15,"8,25","8,34","8,45","8,54","8,67","6388,76","6624,67","6760,47","6825,57","7028,3","20,14","20,56","19,9","18,73","18,45",68.68,68.82,69.18,69.55,69.8,651032,663438,690028,752635,802749,60,61,62,73,74,90.72,86.9,82.58,86.54,89.13,83.69,83.85,84.41,84.86,85.37,12207,11977,12179,12566,13008
,Manokwari Selatan,59.84,59.85,60.68,61.55,62.45,"6,63","6,63","6,9","6,96","7,17","578,45","585,58","597,38","609,92","652,59","28,88","29,3","28,55","27,8","26,83",67.58,67.6,67.84,68.09,68.26,678494,686235,702674,719773,734246,13,13,14,21,21,86.49,91.54,88.42,91.03,91.74,63.88,64.37,65.62,66.82,67.91,5505,5505,5691,5948,6139
,Pegunungan Arfak,56.33,56.13,57.01,57.82,58.71,"5,12","5,12","5,34","5,51","5,72","151,23","158,11","179,29","196,37","217,67","33,81","34,7","33,71","32,29","31,76",67.24,67.26,67.5,67.71,67.84,670687,683722,706497,723662,738135,14,14,14,12,13,43.28,45.21,34.98,30.98,49.9,76.94,76.97,77.75,78.94,79.96,5099,5009,5204,5438,5722
Papua,Jayapura,72.97,73.29,73.92,74.74,74.11,"10,04","10,05","10,27","10,32","10,57","9534,71","10004,3","10382,97","10842,92","11251,92","12,44","12,13","11,94","11,45","11,6",67.05,67.16,67.45,67.78,68.08,601005,624845,651581,706549,729234,12,15,12,12,12,73.28,73.41,66.82,74.28,70.53,90.92,91.19,91.73,91.61,91.63,9898,9989,10230,10671,10848
,Kepulauan Yapen,68.22,68.27,68.94,69.62,69.65,"9,46","9,47","9,69","9,7","9,71","2750,8","2882,2","2996,49","3086,8","3198,82","26,3","26,09","26,15","25,89","25,69",69.12,69.17,69.39,69.63,69.83,653819,688204,716343,757676,782033,46,56,48,48,49,57.66,68.31,56.73,69.21,57.14,89,89.15,90.25,89.9,89.94,7484,7491,7685,8091,8409
,Biak Numfor,73.23,73.36,73.87,74.45,73.98,"10,33","10,34","10,53","10,54","10,55","3225,01","3304,92","3470,63","3613,07","3695,62","24,57","24,45","24,48","23,53","23,46",68.25,68.29,68.5,68.74,68.97,574402,602931,627921,657182,677659,60,52,60,62,63,84,81.49,82.11,90.62,93.89,90.15,90.25,90.79,90.96,91.36,9705,9607,9788,10229,10600
,Sarmi,64.86,65.17,66.09,67,66.72,"8,82","8,83","9,15","9,36","9,61","1807,43","1837,97","1877,6","1974,37","2058,5","13,87","13,84","13,76","13,21","14,05",66.36,66.46,66.74,67.07,67.38,535586,554491,584626,633124,653436,3,2,3,3,3,75.16,66.83,63.62,76.48,88.45,82.35,82.56,83.37,83.72,84.28,6600,6617,6864,7204,7499
,Keerom,67.54,67.62,68.37,69.25,68.68,"8,01","8,02","8,31","8,57","8,58","1971,46","2024,62","2083,29","2148,41","2217,27","16,32",16,"15,77","15,68","15,84",66.69,66.78,67.04,67.24,67.44,677050,704998,744805,807097,832766,7,3,7,7,7,60.77,56.15,69.41,78.65,81.99,86.23,86.32,87.46,87.92,88.13,8910,8926,9153,9545,9967
,Waropen,66.16,66.32,66.88,67.67,66.92,"9,2","9,21","9,4","9,41","9,42","1453,78","1473,31","1543,09","1536,32","1583,01","29,54","29,85","30,22","29,16","29,85",66.33,66.42,66.68,66.92,67.11,691544,731467,769979,810167,835594,5,1,3,3,3,92.85,80.04,83.29,76.29,78.31,70.13,70.35,70.97,71.52,72.28,6732,6788,6919,7335,7569
,Supiori,63.53,63.94,64.88,65.84,65.15,"8,81","8,87","9,09","9,2","9,21","766,44","778,37","801,2","819,26","845,73","36,91","37,91","37,7","36,99","37,72",65.94,66.06,66.36,66.66,66.93,471401,498615,526482,554954,587783,33,34,35,36,37,81.47,72.36,73.29,73.86,79.06,76.38,76.78,77.88,78.27,78.85,5677,5708,5904,6259,6474
,Mamberamo Raya,56.02,56.45,57.43,58.49,55,"5,66","5,87","6,12","6,28","6,49","991,15","1003,49","1034,78","1093,47","1136,71","28,38","28,78","30,73","29,63","30,29",57.77,58,58.29,58.54,58.71,727830,769848,803286,834564,861147,1,2,1,1,1,56.49,63.24,44.63,49.88,43.19,81.56,82.11,82.81,83.31,83.53,4581,4603,4806,5105,5298
,Kota Jayapura,80.38,80.55,81.02,81.51,81.67,"11,56","11,57","11,74","11,84","12,07","22027,36","22727,6","23611,09","24775,4","25656,87","11,16","11,39","11,12","10,5","10,72",70.45,70.52,70.76,71.07,71.41,1021759,1051297,1099019,1147265,1179015,492,432,492,443,503,81.55,82.36,78.29,85.33,88.12,94.35,94.65,94.79,94.74,94.72,14763,14937,15189,15272,15408
